Enrollment (# of students who started the program),,,,,,,,,,,,,,,,,,
,2022/23,2023/24,% increase,2024/25,% increase,2025/26,% increase,,,,,,,,,,,
2D Game Dev (Summer),88,96,9%,96,0%,#REF!,#REF!,,Class,Weekly Metrocards,,,,,,,,
Senior XP (Summer),N/A,N/A,N/A,22,N/A,#REF!,#REF!,,2D-1,0,,,,,,,,
2D Game Dev (after school),88,103,17%,99,-4%,#N/A,#N/A,,2D-3,0,,,,,,,,
3D Game Dev,44,58,32%,90,55%,#N/A,#N/A,,3D-1,0,,,,,,,,
Studio,14,20,43%,29,45%,#N/A,#N/A,,3D-3,0,,,,,,,,
Play Lab,N/A,N/A,N/A,8,N/A,#REF!,#REF!,,Play Lab,0,,,,,,,,
Spring Break Game Design Lab ,N/A,46,N/A,51,11%,#REF!,#REF!,,Studio,0,,,0,,,,,
Pop-Up Classes,N/A,#N/A,100%,273,-3%,#REF!,#REF!,,,,,,,,,,,
School Based After-school (GP) ,101,87,-14%,N/A,N/A,,,,TOTAL WEEKLY,0,,,,,,,,
Fresh Air Fund ,84,N/A,N/A,N/A,N/A,,,,$$,$0.00,,,,,,,,
Total Enrollments (GA only),234,277,18%,344,24%,#REF!,#REF!,,,,,,,,,,,
Total Enrollments (GA + GD Lab),N/A,323,N/A,395,22%,#REF!,#REF!,,,,,,,,,,,
Total Enrollments (All programs),419,692,65%,668,-3%,#REF!,#REF!,,,,,,,,,,,
* Note: The data will not be final until June 2026 - this shows up to the minute stats on how many are still 'active' in the program. ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Retention (# of students who completed the program),,,,,,,,,,,,,,,,,,
,2022/23 #,2022/23 rate,2023/24 #,2023/24 rate,% increase*,2024/25 #,2024/25 rate,% increase,2025/26 #,2025/26 rate*,% increase,,,,,,,
2D Game Dev (Summer),61,69%,84,88%,26%,89,93%,5%,#N/A,#N/A,#N/A,,,,,,,
Senior XP (Summer),N/A,N/A,N/A,N/A,N/A,19,86%,N/A,#REF!,#REF!,#REF!,,,,,,,
2D Game Dev (after school),49,56%,70,69%,23%,69,70%,1%,#N/A,#N/A,#N/A,,,,,,,
3D Game Dev,38,86%,53,91%,6%,78,87%,-5%,#N/A,#N/A,#N/A,,,,,,,
Studio,14,100%,19,95%,-5%,26,90%,-6%,#REF!,#REF!,#REF!,,,,,,,
Play Lab,N/A,N/A,N/A,N/A,N/A,6,75%,N/A,#REF!,#REF!,#REF!,,,,,,,
Spring Break Game Design Lab ,N/A,N/A,33,72%,N/A,46,90%,25%,#REF!,#REF!,#REF!,,,,,,,
Pop-Up Classes,N/A,N/A,282,N/A,N/A,273,N/A,N/A,#REF!,N/A,N/A,,,,,,,
School Based After-school (GP) ,56,55%,55,63%,14%,,,,,,,,,,,,,
Fresh Air Fund ,84,100%,N/A,N/A,N/A,,,,,,,,,,,,,
Total (Game Academy only),162,69%,226,82%,18%,287,83%,2%,#N/A,#N/A,#N/A,,,,,,,
Total (GA + GD Lab),302,72%,596,86%,20%,606,85%,8%,#N/A,#N/A,#N/A,,,,,,,
* Note: The data will not be final until June 2026 - this shows up to the minute stats on how many are still 'active' in the program. ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Attendance Rates,,,,,,,,,,,,,,,,,,
,2022/23 rate,2023/24 rate,% increase,2024/25 rate,% increase,2025/26 rate*,% increase,,,,,,,,,,,
Senior XP,N/A,N/A,N/A,92%,N/A,#REF!,#REF!,,,,,,,,,,,
2D Game Dev (Summer),N/A,94%,N/A,93%,-1%,#REF!,#REF!,,,,,,,,,,,
2D Game Dev (after school),75%,84%,11%,81%,-4%,#REF!,#REF!,,,,,,,,,,,
3D Game Dev,87%,85%,-2%,81%,-4%,#REF!,#REF!,,,,,,,,,,,
Studio,81%,87%,8%,86%,-2%,#REF!,#REF!,,,,,,,,,,,
Play Lab,N/A,N/A,N/A,80%,N/A,#REF!,#REF!,,,,,,,,,,,
Spring Break Game Design Lab ,N/A,83%,N/A,93%,13%,#REF!,#REF!,,,,,,,,,,,
Total (GA + GD Lab),79%,85%,8%,87%,2%,#REF!,#REF!,,,,,,,,,,,
* Note: The data will not be final until June 2026 - this shows up to the minute stats on how many are still 'active' in the program. ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
